,player_id,full_name,ranking_points
0,206173,Jannik Sinner,11830
1,100644,Alexander Zverev,7915
2,207989,Carlos Alcaraz,7010
3,126203,Taylor Fritz,5100
4,106421,Daniil Medvedev,5030
5,134770,Casper Ruud,4255
6,104925,Novak Djokovic,3910
7,126094,Andrey Rublev,3760
8,200282,Alex De Minaur,3745
9,105777,Grigor Dimitrov,3350
10,126774,Stefanos Tsitsipas,3165
11,126205,Tommy Paul,3145
12,208029,Holger Rune,3025
13,200005,Ugo Humbert,2765
14,207733,Jack Draper,2685
15,128034,Hubert Hurkacz,2640
16,207518,Lorenzo Musetti,2600
17,126207,Frances Tiafoe,2585
18,111575,Karen Khachanov,2410
19,209950,Arthur Fils,2355
20,210097,Ben Shelton,2330
21,200624,Sebastian Korda,1985
22,126214,Alejandro Tabilo,1943
23,200615,Alexei Popyrin,1865
24,207830,Tomas Machac,1758
25,111442,Jordan Thompson,1745
26,202104,Sebastian Baez,1690
27,208103,Jiri Lehecka,1660
28,202103,Francisco Cerundolo,1620
29,208659,Giovanni Mpetshi Perricard,1561
30,207925,Flavio Cobolli,1472
31,122330,Alexander Bublik,1420
32,126610,Matteo Berrettini,1380
33,111797,Nicolas Jarry,1370
34,132686,Nuno Borges,1355
35,208286,Matteo Arnaldi,1345
36,206909,Brandon Nakashima,1335
37,144869,Tomas Martin Etcheverry,1315
38,134868,Tallon Griekspoor,1280
39,210506,Alex Michelsen,1245
40,209260,Luciano Darderi,1198
41,106218,Marcos Giron,1150
42,208363,Mariano Navone,1148
43,210150,Jakub Mensik,1136
44,111815,Cameron Norrie,1119
45,105138,Roberto Bautista Agut,1104
46,105676,David Goffin,1037
47,132283,Lorenzo Sonego,1026
48,200175,Miomir Kecmanovic,1021
49,104792,Gael Monfils,1005
50,106148,Roberto Carballes Baena,981
51,133430,Denis Shapovalov,981
52,206681,Fabian Marozsan,935
53,126239,Arthur Rinderknech,927
54,126128,Roman Safiullin,923
55,200221,Alejandro Davidovich Fokina,845
56,144719,Jaume Munar,832
57,209070,Arthur Cazaux,807
58,207352,Bu Yunchaokete,784
59,105173,Adrian Mannarino,779
60,124186,Alexandre Muller,778
61,126846,Aleksandar Vukic,778
62,106415,Yoshihito Nishioka,776
63,144895,Corentin Moutet,772
64,200267,Zizou Bergs,768
65,111460,Quentin Halys,756
66,208014,Rinky Hijikata,746
67,205734,Thiago Seyboth Wild,732
68,200384,Hugo Gaston,717
69,106423,Thanasi Kokkinakis,716
70,207686,Alexander Shevchenko,715
71,207680,Facundo Diaz Acosta,714
72,122298,Botic Van De Zandschulp,712
73,105583,Dusan Lajovic,710
74,105902,James Duckworth,687
75,106121,Taro Daniel,674
76,200303,Pavel Kotov,655
77,209113,Gabriel Diallo,643
78,127157,Daniel Altmaier,640
79,106432,Borna Coric,639
80,104926,Fabio Fognini,637
81,105870,Yannick Hanfmann,627
82,111576,Sumit Nagal,622
83,208233,Mattia Bellucci,605
84,105916,Marton Fucsovics,597
85,105453,Kei Nishikori,578
86,111153,Christopher Eubanks,572
87,106329,Thiago Monteiro,566
88,206499,Aleksandar Kovacevic,554
89,111513,Laslo Djere,519
90,210530,Learner Tien,493
91,209414,Luca Van Assche,471
92,127760,Lukas Klein,443
