id,full_name,ranking_points
1,Jannik Sinner,"11,830"
2,Alexander Zverev,"7,915"
3,Carlos Alcaraz,"7,010"
4,Taylor Fritz,"5,100"
5,Daniil Medvedev,"5,030"
6,Casper Ruud,"4,255"
7,Novak Djokovic,"3,910"
8,Andrey Rublev,"3,760"
9,Alex De Minaur,"3,745"
10,Grigor Dimitrov,"3,350"
11,Stefanos Tsitsipas,"3,165"
12,Tommy Paul,"3,145"
13,Holger Rune,"3,025"
14,Ugo Humbert,"2,765"
15,Jack Draper,"2,685"
16,Hubert Hurkacz,"2,640"
17,Lorenzo Musetti,"2,600"
18,Frances Tiafoe,"2,585"
19,Karen Khachanov,"2,410"
20,Arthur Fils,"2,355"
21,Ben Shelton,"2,330"
22,Sebastian Korda,"1,985"
23,Alejandro Tabilo,"1,943"
24,Alexei Popyrin,"1,865"
25,Tomas Machac,"1,758"
26,Jordan Thompson,"1,745"
27,Sebastian Baez,"1,690"
28,Jiri Lehecka,"1,660"
29,Felix Auger-Aliassime,"1,635"
30,Francisco Cerundolo,"1,620"
31,Giovanni Mpetshi Perricard,"1,561"
32,Flavio Cobolli,"1,472"
33,Alexander Bublik,"1,420"
34,Matteo Berrettini,"1,380"
35,Nicolas Jarry,"1,370"
36,Nuno Borges,"1,355"
37,Matteo Arnaldi,"1,345"
38,Brandon Nakashima,"1,335"
39,Tomas Martin Etcheverry,"1,315"
40,Tallon Griekspoor,"1,280"
41,Alex Michelsen,"1,245"
42,Jan-Lennard Struff,"1,240"
43,Pedro Martinez Portero,"1,205"
44,Luciano Darderi,"1,198"
45,Zhang Zhizhen,"1,155"
46,Marcos Giron,"1,150"
47,Mariano Navone,"1,148"
48,Jakub Mensik,"1,136"
49,Cameron Norrie,"1,119"
50,Shang Juncheng,"1,115"
51,Roberto Bautista Agut,"1,104"
52,David Goffin,"1,037"
53,Lorenzo Sonego,"1,026"
54,Miomir Kecmanovic,"1,021"
55,Gael Monfils,"1,005"
56,Denis Shapovalov,981
57,Roberto Carballes Baena,981
58,Fabian Marozsan,935
59,Arthur Rinderknech,927
60,Roman Safiullin,923
61,Alejandro Davidovich Fokina,845
62,Jaume Munar,832
63,Arthur Cazaux,807
64,Christopher O'Connell,795
65,Bu Yunchaokete,784
66,Adrian Mannarino,779
67,Alexandre Muller,778
68,Aleksandar Vukic,778
69,Yoshihito Nishioka,776
70,Corentin Moutet,772
71,Zizou Bergs,768
72,Quentin Halys,756
73,Rinky Hijikata,746
74,Thiago Seyboth Wild,732
75,Benjamin Bonzi,730
76,Hugo Gaston,717
77,Thanasi Kokkinakis,716
78,Alexander Shevchenko,715
79,Facundo Diaz Acosta,714
80,Botic Van De Zandschulp,712
81,Dusan Lajovic,710
82,James Duckworth,687
83,Damir Dzumhur,679
84,Taro Daniel,674
85,Francisco Comesana,661
86,Pavel Kotov,655
87,Gabriel Diallo,643
88,Sebastian Ofner,643
89,Daniel Altmaier,640
90,Borna Coric,639
91,Fabio Fognini,637
92,Luca Nardi,637
93,Adam Walton,636
94,Otto Virtanen,634
95,Emil Ruusuvuori,628
96,Yannick Hanfmann,627
97,Camilo Ugo Carabelli,624
98,Sumit Nagal,622
99,Jacob Fearnley,622
100,Federico Coria,617
101,Lucas Pouille,616
102,Dominik Koepfer,610
103,Mattia Bellucci,605
104,Marton Fucsovics,597
105,Max Purcell,591
106,Kei Nishikori,578
107,Christopher Eubanks,572
108,Francesco Passaro,570
109,Thiago Monteiro,566
110,Nicolas Moreno De Alboran,556
111,Aleksandar Kovacevic,554
112,Jesper De Jong,548
113,Mikhail Kukushkin,542
114,Hamad Medjedovic,536
115,Laslo Djere,519
116,Harold Mayot,518
117,Thiago Agustin Tirante,515
118,Alexander Ritschard,513
119,Chun-Hsin Tseng,509
120,Kamil Majchrzak,506
121,Raphael Collignon,500
122,Learner Tien,493
123,Jaime Faria,489
124,Hugo Dellien,488
125,Billy Harris,474
126,Daniel Elahi Galan,473
127,Jozef Kovalik,472
128,Luca Van Assche,471
129,Richard Gasquet,470
130,Vit Kopriva,465
131,Mackenzie McDonald,464
132,Lloyd Harris,457
133,Tristan Boyer,452
134,Jerome Kym,451
135,Leandro Riedi,449
136,Lukas Klein,443
137,Federico Agustin Gomez,442
138,Nishesh Basavareddy,440
139,Juan Manuel Cerundolo,428
140,Valentin Vacherot,426
141,Matteo Gigante,424
142,Duje Ajdukovic,422
143,Marco Trungelliti,417
144,Facundo Bagnis,414
145,Joao Fonseca,409
146,Yasutaka Uchiyama,398
147,Mitchell Krueger,396
148,Pierre-Hugues Herbert,391
149,Felipe Meligeni Alves,389
150,Seong-Chan Hong,389
